Job Title,Job Title Clean,Job Title Clean 2
Social Work Associate – Family Development Division,Family Development Division,['Social Work Associate']
Assistant Manager (Environmental Services | Hospital Environment),Assistant Manager,['Assistant Manager']
Social Worker,Social Worker,['Social Worker']
"Head, Social Work",Social Work,"['Head, Social Work']"
Research Assistant (Healthcare),Research Assistant,['Research Assistant']
"Executive, Partnership Development",Executive,['Executive']
Dental Assistant (Full time / Part time),Dental Assistant,['Dental Assistant']
Programme Assistant (Homes),Programme Assistant,['Programme Assistant']
Customer Excellence (Healthcare/Lifescience),Customer Excellence,['Customer Excellence']
Staff Nurse (Health Screening),Staff Nurse,['Staff Nurse']
Clinic Assistant (Jurong),Clinic Assistant,['Clinic Assistant']
SOC Clinic Executive,Soc Clinic Executive,['SOC Clinic Executive']
Clinic Assistant: Premier Health Screening Centre,Clinic Assistant,['Clinic Assistant']
"Executive/ Assistant Manager, Healthcare Operations and Data",Executive/ Assistant Manager,['Executive/ Assistant Manager']
"Executive, Environmental Services",Executive,['Executive']
Contract Storekeeper (NHG Pharmacy),Contract Storekeeper,['Storekeeper']
Dental Assistant,Dental Assistant,['Dental Assistant']
"Therapy Assistant, Occupational Therapy",Therapy Assistant,['Therapy Assistant']
Senior / Patient Service Associate (Specialist Outpatient Clinics),Senior / Patient Service Associate,['Senior / Patient Service Associate']
Nutritionist,Nutritionist,['Nutritionist']
Senior Operations Executive / Operations Executive (Specialist Outpatient Clinic,Senior Operations Executive / Operations Executive,['Operations Executive']
Patient Service Associate (Office Hours),Patient Service Associate,['Patient Service Associate']
Nurse/Clinic Assistant,Nurse/Clinic Assistant,['Nurse/Clinic Assistant']
Nursing Aide / Basic Care Associate (Clinical / Hospital Setting) - QQ,Basic Care Associate,['Nursing Aide']
"Operations Manager, Healthcare",Operations Manager,['Operations Manager']
Logistics Intern (Shipping)New,Logistics Intern,['Logistics Intern']
Part Time IT Support,Part Time It Support,['Part Time IT Support']
IT Support Engineer,It Support Engineer,['IT Support Engineer']
IT Project Engineer (No Experience Required),It Project Engineer,['IT Project Engineer']
Regional IT Engineer,Regional It Engineer,['Regional IT Engineer']
Technical Business Analyst,Technical Business Analyst,['Technical Business Analyst']
$2100/Month - Digital Ambassadors - Govt Job - Work Around Your Area,/Month - Digital Ambassadors,[]
Product Associate,Product Associate,['Product Associate']
Junior IT Service Desk Engineer | Entry Level (OJT Provided),Junior It Service Desk Engineer,['Junior IT Service Desk Engineer']
Systems Analyst,Systems Analyst,['Systems Analyst']
"Assistant Manager, Fulfilment Operations",Assistant Manager,['Assistant Manager']
IT Technical Support Engineer (KYL_AZ),It Technical Support Engineer,['IT Technical Support Engineer']
Network Engineer,Network Engineer,['Network Engineer']
"Data Analyst, Global Partnerships Sales Engine",Data Analyst,['Data Analyst']
Application Support Engineer (Software / L1L2),Application Support Engineer,['Application Support Engineer']
IT Network Security Manager,It Network Security Manager,['IT Network Security Manager']
IT/Senior IT and Corporate Executive,It/Senior It And Corporate Executive,['IT/Senior IT and Corporate Executive']
Software Engineer,Software Engineer,['Software Engineer']
IT Support Engineer [ LAN / WAN / Microsoft 365 /Degree holder],Support Engineer,['IT Support Engineer']
Regional IT and Cloud Specialist (APAC) | Yearly renewable contract | Up to $8k,(Apac,['Regional IT and Cloud Specialist']
System Analyst,System Analyst,['System Analyst']
L1 Data Centre Engineer,L1 Data Centre Engineer,['L1 Data Centre Engineer']
Software Engineer,Software Engineer,['Software Engineer']
Project Support Officer (PMO) (Ref 26017),Project Support Officer,['Project Support Officer']
Technical Support Specialist,Technical Support Specialist,['Technical Support Specialist']
Test Automation Engineer,Test Automation Engineer,['Test Automation Engineer']
IT Support,Support,['IT Support']
IT Engineer (OA),It Engineer,['IT Engineer']
IT Support Associate (Healthcare),Support Associate,['IT Support Associate']
Junior RAN Engineer,Junior Ran Engineer,['Junior RAN Engineer']
Security Architect,Security Architect,['Security Architect']
Senior .Net Developer | Up to $7k | 12 Months Contract,Senior .Net Developer |,['Senior .Net Developer']
Analyst Programmer,Analyst Programmer,['Analyst Programmer']
Informatics Lead,Informatics Lead,['Informatics Lead']
"Manager, Digital Services (Low Code Application Development)",Manager,['Manager']
Process Engineer,Process Engineer,['Process Engineer']
Service Engineer,Service Engineer,['Service Engineer']
Assistant Engineer,Assistant Engineer,['Assistant Engineer']
"BIM Modeler, Engineer (Training Provided)",Bim Modeler,['BIM Modeler']
Piping Draftsman cum Document Controller,Piping Draftsman Cum Document Controller,['Piping Draftsman cum Document Controller']
Workplace Safety & Health Officer (WSHO) - Based in Changi NEWater,Workplace Safety,"['Workplace Safety & Health Officer', 'Changi NEWater']"
Equipment Engineer,Equipment Engineer,['Equipment Engineer']
Facilities Technician,Facilities Technician,['Facilities Technician']
"Engineer, Electrical & Instrumentation",Engineer,['Engineer']
Operations & Maintenance Engineer,Operations,['Operations & Maintenance Engineer']
TECHNICAL ENGINEER,Technical Engineer,['TECHNICAL ENGINEER']
Project Engineer,Project Engineer,['Project Engineer']
Project Engineer (Mechanical/Cleanroom/Semiconductor),Project Engineer,['Project Engineer']
Process Technician,Process Technician,['Process Technician']
Production Engineer,Production Engineer,['Production Engineer']
Mechanical Technician,Mechanical Technician,['Mechanical Technician']
Mechanical Engineer,Mechanical Engineer,['Mechanical Engineer']
Maintenance Engineer,Maintenance Engineer,['Maintenance Engineer']
Mechanical Engineer (Water Treatment),Mechanical Engineer,['Mechanical Engineer']
Mechanical Debug Engineer,Mechanical Debug Engineer,['Mechanical Debug Engineer']
Technical Officer / Technician (Gas Pipelines Operations & Maintenance),Technical Officer / Technician,['Technical Officer / Technician']
Project Engineer,Project Engineer,['Project Engineer']
Electrical and Instrumentation Engineer,Electrical And Instrumentation Engineer,['Electrical and Instrumentation Engineer']
Technical Officer (Biomedical engineering),Technical Officer,['Technical Officer']
Customer Engineer - Power,Customer Engineer - Power,['Customer Engineer']
HIRING! Electrical Engineers in Built Environment,Electrical Engineers,['Electrical Engineers']
Senior M&E Coordinator,Senior M&E Coordinator,['Senior M&E Coordinator']
Field Service Engineer,Field Service Engineer,['Field Service Engineer']
Project Coordinator,Project Coordinator,['Project Coordinator']
Site Engineer,Site Engineer,['Site Engineer']
Manufacturing Engineer (Robotics & Automation) – East Side | Mon-Fri,Robotics,['Manufacturing Engineer']
"Trainer (EV, Automotive Industry)",Trainer,['Trainer']
Electrical Engineer,Electrical Engineer,['Electrical Engineer']
Facilities Engineer,Facilities Engineer,['Facilities Engineer']
Mechanical / Facilities Engineer (ACMV),Mechanical / Facilities Engineer,['Mechanical / Facilities Engineer']
Product Planning Manager (Automotive Industry - Passenger Vehicle),Product Planning Manager,['Product Planning Manager']
Service Engineer for Semiconductor Industry,Service Engineer,['Service Engineer']
Executive / Senior Engineer (Gas Pipelines & Operations Maintenance),Executive / Senior Engineer,['Executive']
ACMV Engineer,Acmv Engineer,['ACMV Engineer']
Repair Technician (Mobile),(Mobile,['Repair Technician']
Order fulfillment Executive (West),Order Fulfillment Executive,['Order fulfillment Executive']
Workshop Assistant Manager/Manager – Aftersales,Workshop Assistant Manager/Manager,['Workshop Assistant Manager/Manager']
Schedule Control Engineer,Schedule Control Engineer,['Schedule Control Engineer']
AEROSPACE TECHNICIAN,Aerospace Technician,['AEROSPACE TECHNICIAN']
"Service Engineer/Senior Service Engineer, Workshop",Service Engineer/Senior Service Engineer,['Service Engineer']
Civil Supervisor,Civil Supervisor,['Civil Supervisor']
"Specialist, EV Bus Body System (Automotive Industry)",Specialist,['Specialist']
O&M Engineer (Hougang),O&M Engineer,['O&M Engineer']
BMS Technician / Facilities ( Pharma/Tuas West),Bms Technician / Facilities,['BMS Technician / Facilities']
Environmental Waste Supervisor,Environmental Waste Supervisor,['Environmental Waste Supervisor']
PROJECT ENGINEER CUM DRAFTER,Project Engineer Cum Drafter,['PROJECT ENGINEER CUM DRAFTER']
Junior RF Engineer,Junior Rf Engineer,['Junior RF Engineer']
Manufacturing Engineer (Aerospace)  – East Side | Mon-Fri | Multiple Vacancies!!,Aerospace,['Manufacturing Engineer']
HIRING! Civil & Structural Engineers in Built Environment,Structural Engineers,['HIRING! Civil & Structural Engineers']
"Assistant Project Engineer (AutoCAD, Piping, Taiseng)",Assistant Project Engineer,['Assistant Project Engineer']
"Branch Sales Executive ($3,500 + Commission)",Branch Sales Executive,['Branch Sales Executive']
Investment Analyst Intern,Investment Analyst Intern,['Investment Analyst Intern']
Investment Analyst,Investment Analyst,['Investment Analyst']
Client Onboarding Ops (AML/KYC) | Reputable Bank,(Aml/Kyc,['Client']
e-Business Analyst (SEATW),E-Business Analyst,['Business Analyst']
Loan Officer,Loan Officer,['Loan Officer']
E-commerce Performance Analyst (Junior),E-Commerce Performance Analyst,[]
Trust Administration Officer(Foreign Bank),Trust Administration Officer(Foreign Bank,['Trust Administration']
-NEW- 8 Months Trust Operations Officer (Foreign Bank),8 Months,[]
"Corporate Banking Client Servicing Associate (Foreign Bank, up to $5,500) #BLM",Corporate Banking Client Servicing Associate,['Corporate Banking Client Servicing Associate']
Compliance Officer,Compliance Officer,['Compliance Officer']
"Contract Bank Executive (Consumer Unsecured Lending) at RafflesPlace, max $3.3k",Contract Bank Executive,['Bank Executive']
Treasury Operations (Assistant Manager / Manager),Treasury Operations,[]
Trade Export Finance,Trade Export Finance,['Trade Export Finance']
Technology Risk Specialist,Technology Risk Specialist,['Technology Risk Specialist']
"Associate, Operations",Operations,['Associate']
Derivatives Operation (Futures & Options/Securities Firm/$8K) (ID: 670087),Derivatives Operation,['Derivatives Operation']
"Business Analyst up to $6.5K, East (MNC/ BANK)",Business Analyst,['Business Analyst up']
Money Changer & Remittence Admin,Money Changer,['Money Changer & Remittence Admin']
"Specialist, Model Validation, Risk Management Group",Specialist,['Specialist']
"Assistant Manager, Financial Services (Office of Finance)",Assistant Manager,"['Assistant Manager', 'Finance']"
Private Bank - Business Management Analyst (Up to $4k/CBD),Private Bank - Business Management Analyst,['Private Bank - Business Management Analyst']
Private Banking Operations Specialist (6 months),Private Banking Operations Specialist,['Private Banking Operations Specialist']
Trust Officer (Bank|Up to $6.9k),Trust Officer,['Trust Officer']
Customer Service Executive,Customer Service Executive,['Customer Service Executive']
Operations Executive,Operations Executive,['Operations Executive']
Administrative Assistant (3 months),Administrative Assistant,['Administrative Assistant']
"Administrative Assistant, Yard",Administrative Assistant,['Administrative Assistant']
Administration Assistant,Administration Assistant,['Administration Assistant']
Administrative Executive (Office Admin Support),Administrative Executive,['Administrative Executive']
Customer Service Executive (Admin),Customer Service Executive,['Customer Service Executive']
"Executive, Professional & Education Development Division",Executive,['Executive']
Customer Operations Executive,Customer Operations Executive,['Customer Operations Executive']
"Human Resource Officer - 3.5 months contract @ Braddell Road, 5-day work week",Braddell Road,['Human Resource Officer']
HR & Admin Assistant,Hr & Admin Assistant,['HR & Admin Assistant']
Project Support Assistant,Project Support Assistant,['Project Support Assistant']
Admin Executive (No Experience Required),Admin Executive,['Admin Executive']
Senior Associate Executive – Pharmacy Admin,Senior Associate Executive,['Senior Associate Executive']
Personal Assistant,Personal Assistant,['Personal Assistant']
Executive Assistant,Executive Assistant,['Executive Assistant']
(Senior) Executive Assistant - NUCOHS (Admin),(Senior) Executive Assistant - Nucohs,[]
Receptionist,Receptionist,['Receptionist']
"Senior Executive, Preschool Management Division (CMS-PSD)",Senior Executive,['Senior Executive']
Claims Admin Executive (No Experience Required),Claims Admin Executive,['Claims Admin Executive']
Receptionist Cum Admin,Receptionist Cum Admin,['Receptionist']
"$2,980/Mth | Ops Admin Officer | 5 days (Office hours) | 1 Year",Ops Admin Officer,['Admin Officer']
Executive Assistant / Secretary - Asset Management (Perm - S8.3K),Perm - S8.3K,['Executive Assistant']
Administrative Assistant (Legal),Administrative Assistant,['Administrative Assistant']
Facilities Admin Executive (Pharma/Tuas West),Facilities Admin Executive,['Facilities Admin Executive']
Admin Assistant,Admin Assistant,['Admin Assistant']
"Admin Assistant, Healthcare",Admin Assistant,['Admin Assistant']
Accounts / Admin Assistant (Tai Seng),Accounts,['Admin Assistant']
Clerical Officer - CTDC @Clementi,Clerical Officer - Ctdc @Clementi,['Clerical Officer']
Business Admin Coordinator & Office Coordinator,Business Admin Coordinator & Office Coordinator,['Business Admin Coordinator & Office Coordinator']
HR and Administrative Associate,Hr,['HR and Administrative Associate']
Personal Assistant Cum Admin,Personal Assistant Cum Admin,['Personal Assistant Cum Admin']
Admin Assistant,Admin Assistant,['Admin Assistant']
Admin Assistant,Admin Assistant,['Admin Assistant']
Admin Assistant - Docs (Up $2.5K|No Exp Ok!|South),Admin Assistant - Docs,['Admin Assistant']
Administrative Executive,Administrative Executive,['Administrative Executive']
Dealer Management Associate (Admin),Dealer Management Associate,['Dealer Management Associate']
General Accounting Officer - Operation Department,General Accounting Officer - Operation Department,['General Accounting Officer']
Admin Assistant (3-month Contract),Admin Assistant,['Admin Assistant']
"PERM Admin Executive (Healthcare, Office Hours) #HWX",Perm Admin Executive,['PERM Admin Executive']
Preschool Admin Assistant [ Enrichment ],Preschool Admin Assistant [ Enrichment,['Preschool Admin Assistant']
Admin Assistant / Customer Service (Logistics)  x 5 (West) - 5 Days,Admin Assistant / Customer Service,['Admin Assistant / Customer Service']
Hospital Front Desk | Clinic Assistant | Receptionist (UP$2800| Novena | Shifts),(Up$2800| Novena,['Hospital Front Desk']
Assistant / Care Coordinator(237) - National University Polyclinics,Assistant / Care Coordinator(237,['Assistant / Care Coordinator(237']
Office Administrative Assistant,Office Administrative Assistant,['Office Administrative Assistant']
Admin Assistant / Tanjong Pagar / Trading / Up to $2900 - TH,Tanjong Pagar,['Admin Assistant / Tanjong Pagar / Trading / Up']
Social Worker,Social Worker,['Social Worker']
Dental Assistant,Dental Assistant,['Dental Assistant']
"Executive / Senior Executive, Clinical Operations",Executive / Senior Executive,['Executive']
Dental Care Assistant,Dental Care Assistant,['Dental Care Assistant']
Executive,Executive,['Executive']
"Executive, Operations (Allied Health)",Executive,['Executive']
Clinic Assistant,Clinic Assistant,['Clinic Assistant']
Business Manager (Healthcare),Business Manager,['Business Manager']
Product Specialist,Product Specialist,['Product Specialist']
Clinic Operations Executive,Clinic Operations Executive,['Clinic Operations Executive']
Temp Executive,Temp Executive,['Temp Executive']
Clinic Assistant (No experience required!),Clinic Assistant,['Clinic Assistant']
"Snr/ Assistant Engineer, Biomedical Engineering",Snr/ Assistant Engineer,['Snr/ Assistant Engineer']
Pharmacy Assistant / Technician,Pharmacy Assistant / Technician,['Pharmacy Assistant']
Patient Service Officer (Specialist Clinic),Patient Service Officer,['Patient Service Officer']
Therapy Support Associate,Therapy Support Associate,['Therapy Support Associate']
"Senior Executive/Executive, Operations (OH&S, Telecom & BCM)",Senior Executive/Executive,['Senior Executive/Executive']
Senior Executive - Assistant Manager - Allied Health & Pharmacy Ops (Data),Pharmacy Ops,['Senior Executive']
Healthcare Assistant (Permanent Job) (Based in Singapore),Healthcare Assistant,['Healthcare Assistant']
Medical Technologist I,Medical Technologist I,['Medical Technologist']
Clinic Nurse,Clinic Nurse,['Clinic Nurse']
Healthcare Assistant,Healthcare Assistant,['Healthcare Assistant']
Therapy Assistant (No experience required),Therapy Assistant,['Therapy Assistant']
"Senior/ Executive, Laboratory Medicine",Senior/ Executive,[]
Executive,Executive,['Executive']
Hospital Receptionist (FAST SHORTLIST!!),Hospital Receptionist,['Hospital Receptionist']
Project Executive / Supervisor (Healthcare Sector),Project Executive / Supervisor,['Project Executive / Supervisor']
Research Assistant(7976),Research Assistant(7976,['Research Assistant(7976']
"Associate Executive, Orthopaedic Surgery/ Hand & Reconstructive Microsurgery",Associate Executive,['Associate Executive']
"Dentist / Dental Officer, Dental Officers Advanced Practice Programme",Dentist / Dental Officer,['Dentist / Dental Officer']
"Assistant Manager/ Senior Executive, Inpatient Ops",Assistant Manager/ Senior Executive,['Assistant']
"Senior/ Executive Assistant, Pharmacy(7830)",Senior/ Executive Assistant,[]
"Senior/ Executive (Finance & Staff Experience), Div of Radiological Sciences",Senior/ Executive,['Finance & Staff Experience']
Service Engineer (Medical Device/ Up to $4K)_jc03,Service Engineer,['Service Engineer']
Clinical Coder,Clinical Coder,['Clinical Coder']
Operating Theatre Technician,Operating Theatre Technician,['Operating Theatre Technician']
Speech and Language Therapist (Inclusive Education),Speech And Language Therapist,['Speech and Language Therapist']
Social Work Associate,Social Work Associate,['Social Work Associate']
"Senior / Executive, Correctional Health (Future Plans)",Senior / Executive,['Senior / Executive']
UP TO $3500/Month! ! | Psychology Research Officer | Central & East,| Psychology Research Officer,"['UP TO', 'Psychology Research Officer']"
"Senior/ Executive, Care & Palliative Medicine (Contract)",Senior/ Executive,['Care & Palliative Medicine']
Clinic Care Coordinator (Primary Care | West),Clinic Care Coordinator,['Clinic Care Coordinator']
System Administrator,System Administrator,['System Administrator']
IT Executive (Township),It Executive,['IT Executive']
EUC IT Engineer,Euc It Engineer,['EUC IT Engineer']
WPG IT Software Engineer,Wpg It Software Engineer,['WPG IT Software Engineer']
Network Engineer/ Senior Network Engineer,Network Engineer/ Senior Network Engineer,['Network Engineer/ Senior Network Engineer']
"Senior Manager / Associate General Manager, IT Business Partner and IT Portfolio",Senior Manager / Associate General Manager,['Senior Manager / Associate General Manager']
Assistant / Project Manager (Software Solutions),Assistant / Project Manager,['Assistant / Project Manager']
Infrastructure and IT Security Manager,Infrastructure And It Security Manager,['Infrastructure and IT Security Manager']
Project Engineer (IT),Project Engineer,['Project Engineer']
IT engineer (Executive/Senior Executive),It Engineer,['IT engineer']
Auto & Manual Tester (Banking / 6 Months Contract/ West),Auto,['Auto & Manual Tester']
IT Data Center Operation (OJT Provided - Entry level - Shift),It Data Center Operation,['IT Data Center Operation']
IT Technician Trainee,Technician Trainee,['IT Technician Trainee']
IT Support Engineer | Contract,It Support Engineer | Contract,['IT Support Engineer']
Service Delivery Engineer,Service Delivery Engineer,['Service Delivery Engineer']
IT/ID Admin (On job Training Provided),It/Id Admin,['IT/ID Admin']
IT Engineer,It Engineer,['IT Engineer']
Assistant Manager / Manager @ Raffles Place (IT Project | $5500 - $7000),Assistant Manager / Manager,['Assistant Manager / Manager']
"Analyst, Cyber Security",Analyst,['Analyst']
"IT Engineer (Server  & Database/VMware, Windows Server, MSSQL / In-house Role)",It Engineer,['IT Engineer']
IT Analyst,It Analyst,['IT Analyst']
Sales Director,Sales Director,['Sales Director']
IT Manager,It Manager,['IT Manager']
L3 Network Engineer,L3 Network Engineer,['L3 Network Engineer']
IT Support Engineer,It Support Engineer,['IT Support Engineer']
IT Operations Manager | Up to $6000 | Changi Airport #5252,It Operations Manager |,['IT Operations Manager']
Data Center Facility Engineer (Banking/ 12 Months Contract/ East),Data Center Facility Engineer,['Data Center Facility Engineer']
Senior System Engineer (AD | VMware),Senior System Engineer,['Senior System Engineer']
Application Support Engineer,Application Support Engineer,['Application Support Engineer']
IT Support Engineer Onsite,It Support Engineer Onsite,['IT Support Engineer Onsite']
IT Engineer (Data Centre),It Engineer,['IT Engineer']
Project Coordinator Cum Drafter,Project Coordinator Cum Drafter,['Project Coordinator Cum Drafter']
Business Analyst,Business Analyst,['Business Analyst']
Assistant Engineer (CCTV),Assistant Engineer,['Assistant Engineer']
Automation Engineer,Automation Engineer,['Automation Engineer']
Service Engineer (RF),Service Engineer,['Service Engineer']
Process Technician,Process Technician,['Process Technician']
Service Engineer (CTI),Service Engineer,['Service Engineer']
Energy & Sustainability Engineer,Energy & Sustainability Engineer,['Energy & Sustainability Engineer']
Automation Technician,Automation Technician,['Automation Technician']
(ACMV) Project Engineer,(Acmv) Project Engineer,['Project Engineer']
Project Engineer,Project Engineer,['Project Engineer']
Site Engineer ( Waterfront Project )- Night Shift,Site Engineer,['Site Engineer']
Assistant Technical Superintendent,Assistant Technical Superintendent,['Assistant Technical Superintendent']
Mechanical Engineer,Mechanical Engineer,['Mechanical Engineer']
Technician/ Technical Officer (Control & Instrumentation),Technical Officer,['Technician/ Technical Officer']
Systems Automation Engineer,Systems Automation Engineer,['Systems Automation Engineer']
M&E Coordinator ( Waterfront Project ),M&E Coordinator,['M&E Coordinator']
Assistant Engineer / Engineering Technician (Changi),Assistant Engineer / Engineering Technician,['Assistant Engineer / Engineering Technician']
Site Engineer,Site Engineer,['Site Engineer']
Field Service Engineer,Field Service Engineer,['Field Service Engineer']
QAQC Lead,Qaqc Lead,['QAQC Lead']
Senior Engineer (Mechanical),Senior Engineer,['Senior Engineer']
JRL Engineering Management Department - Assistant Engineer,Jrl Engineering Management Department,['JRL Engineering Management Department']
Trainee Aircraft Technician (2025 intake),Trainee Aircraft Technician,['Trainee Aircraft Technician']
PLC engineer,Plc Engineer,['PLC engineer']
Senior Energy & Sustainability Engineer,Senior Energy & Sustainability Engineer,['Senior Energy & Sustainability Engineer']
Mechanical Project Engineer / Senior Engineer (12-month contract),Mechanical Project Engineer / Senior Engineer,['Mechanical Project Engineer']
Senior Product Engineer,Senior Product Engineer,['Senior Product Engineer']
WSH OFFICER,Wsh Officer,['WSH OFFICER']
C&S (Civil & Structural) Design Coordinator  ( Waterfront Project ),C&S,['C&S']
Application Engineer,Application Engineer,['Application Engineer']
Sales & Service Engineer (Water Treatment),Sales,['Sales & Service Engineer']
"Assistant Engineer, Integrated Facilities Maintenance",Assistant Engineer,['Assistant Engineer']
Aircraft Engine / Component Repair Technician (East / Shift work) VA,Aircraft Engine / Component Repair Technician,['Aircraft Engine / Component Repair Technician']
Service Engineer,Service Engineer,['Service Engineer']
Manufacturing Engineer,Manufacturing Engineer,['Manufacturing Engineer']
Engineer (Construction),Engineer,['Engineer']
JRL Engineering Management Department - Engineer,Jrl Engineering Management Department - Engineer,['JRL Engineering Management Department - Engineer']
Field Service Engineer (Press Printer),Field Service Engineer,['Field Service Engineer']
Design Engineer (Solar),Design Engineer,['Design Engineer']
"Technical Officer, Integrated Facilities Maintenance",Technical Officer,['Technical Officer']
"Engineer 2, Reagent QC (40156-JOB)",Engineer,['Engineer']
Field Service Engineer,Field Service Engineer,['Field Service Engineer']
"Mechanical Engineer, Thermal Systems Engineering",Mechanical Engineer,['Mechanical Engineer']
Service Sustainability Engineer,Service Sustainability Engineer,['Service Sustainability Engineer']
M&E Engineer,M&E Engineer,['M&E Engineer']
"Duty Engineer (Hotel, Maintenance and Electrical)",Duty Engineer,['Duty Engineer']
PROJECT ENGINEER,Project Engineer,['PROJECT ENGINEER']
Service Engineer - Entry / Junior / 2 Vacancies - Training Provided,Training Provided,['Service Engineer']
Technician/ Technical Officer (Gas Plant Operations),Technical Officer,['Technician/ Technical Officer']
ACMV Drafter,Acmv Drafter,['ACMV Drafter']
Project ACMV Engineer,Project Acmv Engineer,['Project ACMV Engineer']
Assistant Project Manager (LS/LAL),Assistant Project Manager,['Assistant Project Manager']
EICA Drafter,Eica Drafter,['EICA Drafter']
Technician/ Technical Officer (Electrical),Technical Officer,['Technician/ Technical Officer']
Business Development Officer,Business Development Officer,['Business Development Officer']
Operations Executive - Maybank Singapore,Operations Executive - Maybank Singapore,['Operations Executive']
Compliance Officer,Compliance Officer,['Compliance Officer']
Investment Fund Executive,Investment Fund Executive,['Investment Fund Executive']
Investment Management Trainee,Investment Management Trainee,['Investment Management Trainee']
Financial Consultant,Financial Consultant,['Financial Consultant']
Associate Analyst,Associate Analyst,['Associate Analyst']
Banking Associate,Banking Associate,['Banking Associate']
*NEW* 1 year contract KYC Analyst - Foreign banks,*New* 1 Year Contract,[]
Business Analyst Intern (Bank),Business Analyst Intern (Bank,['Business Analyst Intern']
Client Servicing Manager / Relationship Manager (SME),Client Servicing Manager / Relationship Manager,['Client Servicing Manager / Relationship Manager']
Personal Banker / Relationship Manager,Personal Banker / Relationship Manager,['Personal Banker / Relationship Manager']
Data Analyst (Banking / up to $9K),Data Analyst,['Data Analyst']
Automation Tester (Banking/ 6 Months Contract/ East),Automation Tester,['Automation Tester']
Private Banking Officer - Recruit Avenue,Private Banking Officer - Recruit Avenue,['Private Banking Officer']
Global Banking - Investment Banking Associate,Global Banking - Investment Banking Associate,['Global Banking']
Analyst - Maybank Singapore,Analyst - Maybank Singapore,['Analyst']
Lawyer - Maybank Singapore,Lawyer - Maybank Singapore,['Lawyer']
Investment Officer,Investment Officer,['Investment Officer']
Finance & Investment Associate (Entry Level & Internship),Finance,['Finance & Investment Associate']
Business Analyst,Business Analyst,['Business Analyst']
VP - Maybank Singapore,Vp - Maybank Singapore,['VP']
Associate VP (Investment),Associate Vp,['Associate VP']
Admin Assistant,Admin Assistant,['Admin Assistant']
Part Time Admin Assistant (3 days per week),Part Time Admin Assistant,['Admin Assistant']
Customer Support Administrator,Customer Support Administrator,['Customer Support Administrator']
Admin Assistant,Admin Assistant,['Admin Assistant']
Insurance Admin Executive (Motor Insurance) 5 days work week,Insurance Admin Executive,['Insurance Admin Executive']
Administrator (QAQC),Administrator,['Administrator']
Office Administrator (HR Admin),Office Administrator,['Office Administrator']
Admin & HR Exec,Admin,['Admin & HR Exec']
Examinations & Administration Assistant,Examinations,['Examinations & Administration Assistant']
Customer Service Specialist,Customer Service Specialist,['Customer Service Specialist']
Assistant Certification Executive,Assistant Certification Executive,['Assistant Certification Executive']
Sales & Operations Executive,Sales & Operations Executive,['Sales & Operations Executive']
Administrative Assistant (Marine),Administrative Assistant,['Administrative Assistant']
Customer Service Officer (IFS),Customer Service Officer,['Customer Service Officer']
HR ASSISTANT,Hr Assistant,['HR ASSISTANT']
Accounts cum Admin Executive,Accounts,['Accounts cum Admin Executive']
Claims Executive (No Experience),Claims Executive,['Claims Executive']
Executive Assistant to CEO,Executive Assistant,['Executive Assistant']
Admin Assistant,Admin Assistant,['Admin Assistant']
Admin Assistant,Admin Assistant,['Admin Assistant']
Admin Executive,Admin Executive,['Admin Executive']
Admin Assistant,Admin Assistant,['Admin Assistant']
Purchasing Admin Assistant,Purchasing Admin Assistant,['Purchasing Admin Assistant']
Business Operations Executive,Business Operations Executive,['Business Operations Executive']
"Part Time Clinic Assistant (Thomson Women's Clinic - West, East, Central)",Part Time Clinic Assistant,['Part Time Clinic Assistant']
Data Entry,Data Entry,['Data Entry']
CORPORATE ADMIN EXECUTIVE,Corporate Admin Executive,['CORPORATE ADMIN EXECUTIVE']
"Admin Officer, JO-25731",Admin Officer,['Admin Officer']
Part-Time Bookkeeper/Operations Administrator,Part-Time Bookkeeper/Operations Administrator,['Part-Time Bookkeeper/Operations Administrator']
Operations Support Officer,Operations Support Officer,['Operations Support Officer']
Programme Assistant/Executive,Programme Assistant/Executive,['Programme Assistant/Executive']
Executive Assistant - Investment Firm,Executive Assistant - Investment Firm,['Executive Assistant']
Part Time Admin,Part Time Admin,['Part Time Admin']
Logistics Admin,Logistics Admin,['Logistics Admin']
Admin and HR,Admin,['Admin']
Buying Admin,Admin,['Buying Admin']
Protocol & Administrative Officer,Protocol,['Protocol & Administrative Officer']
Account Assistant (AP),Account Assistant,['Account Assistant']
Dental Assistant,Dental Assistant,['Dental Assistant']
Staff Nurse,Staff Nurse,['Staff Nurse']
Physiotherapist,Physiotherapist,['Physiotherapist']
Clinic Assistant,Clinic Assistant,['Clinic Assistant']
Operations Executive (Healthcare),Operations Executive,['Operations Executive']
Care Programme Coordinator - Senior Care Centre,Senior Care Centre,['Care Programme Coordinator']
Volunteer Executive [ 5 days / Social Services ],Volunteer Executive,['Volunteer Executive']
Community Care Executive,Community Care Executive,['Community Care Executive']
"Assistant Manager (Corporate Planning), Eastern General Hospital Planning Office",Assistant Manager,['Assistant Manager']
Pharmacy Assistant / Pharmacy Technician,Pharmacy Assistant / Pharmacy Technician,['Pharmacy Assistant']
Patient Service Associate (Counter),Patient Service Associate,['Patient Service Associate']
Temporary Pharmacy Assistant (May - October 2025) (6 months),Temporary Pharmacy Assistant,['Temporary Pharmacy Assistant']
